Category,Tool,Tool Description,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction,Energy Consumption,Resource Efficiency,Water Usage,Lifetime Durability
Machine Learning Optimization,Machine Learning Optimization_Tool_1,Description of Machine Learning Optimization tool 1,7.79,7.26,6.09,4.91,6.98,4.91,6.09,2.5,7.9
Machine Learning Optimization,Machine Learning Optimization_Tool_2,Description of Machine Learning Optimization tool 2,8.32,7.28,5.93,5.07,6.37,5.07,5.93,1.84,7.67
Machine Learning Optimization,Machine Learning Optimization_Tool_3,Description of Machine Learning Optimization tool 3,10,8.33,6.09,4.91,8.8,4.91,6.09,2.34,8.04
Machine Learning Optimization,Machine Learning Optimization_Tool_4,Description of Machine Learning Optimization tool 4,8.92,6.59,5.71,5.29,6.12,5.29,5.71,1.86,7
Machine Learning Optimization,Machine Learning Optimization_Tool_5,Description of Machine Learning Optimization tool 5,7.48,8.73,5.83,5.17,8.95,5.17,5.83,2.28,8.0
Machine Learning Optimization,Machine Learning Optimization_Tool_6,Description of Machine Learning Optimization tool 6,9.02,7.26,6.25,4.75,7.02,4.75,6.25,1.79,8.67
Machine Learning Optimization,Machine Learning Optimization_Tool_7,Description of Machine Learning Optimization tool 7,7.25,8.11,5.99,5.01,3.5,5.01,5.99,2.29,9.23
Machine Learning Optimization,Machine Learning Optimization_Tool_8,Description of Machine Learning Optimization tool 8,8.37,6.58,5.98,5.02,8.12,5.02,5.98,1.84,8.47
Machine Learning Optimization,Machine Learning Optimization_Tool_9,Description of Machine Learning Optimization tool 9,6.58,7.82,5.63,5.37,3.18,5.37,5.63,2.01,8.21
Machine Learning Optimization,Machine Learning Optimization_Tool_10,Description of Machine Learning Optimization tool 10,6.47,7.1,6.13,4.87,3.4,4.87,6.13,2.25,9.25
Machine Learning Optimization,Machine Learning Optimization_Tool_11,Description of Machine Learning Optimization tool 11,9.39,6.84,5.75,5.25,8.31,5.25,5.75,2.12,7.93
Machine Learning Optimization,Machine Learning Optimization_Tool_12,Description of Machine Learning Optimization tool 12,8.42,10,5.85,5.15,6.51,5.15,5.85,2.06,7.72
Machine Learning Optimization,Machine Learning Optimization_Tool_13,Description of Machine Learning Optimization tool 13,8.45,7.0,6.12,4.88,8.31,4.88,6.12,1.64,8.29
Machine Learning Optimization,Machine Learning Optimization_Tool_14,Description of Machine Learning Optimization tool 14,8.67,7.97,5.81,5.19,7.48,5.19,5.81,1.87,8.39
Machine Learning Optimization,Machine Learning Optimization_Tool_15,Description of Machine Learning Optimization tool 15,6.87,7.34,5.86,5.14,9.43,5.14,5.86,2.72,7.19
Machine Learning Optimization,Machine Learning Optimization_Tool_16,Description of Machine Learning Optimization tool 16,6.75,5,6.04,4.96,3.94,4.96,6.04,1.67,8.05
Machine Learning Optimization,Machine Learning Optimization_Tool_17,Description of Machine Learning Optimization tool 17,8.67,7.59,6.17,4.83,5.41,4.83,6.17,2.17,8.49
Machine Learning Optimization,Machine Learning Optimization_Tool_18,Description of Machine Learning Optimization tool 18,8.55,9.67,6.13,4.87,8.07,4.87,6.13,2.44,8.54
Machine Learning Optimization,Machine Learning Optimization_Tool_19,Description of Machine Learning Optimization tool 19,7.53,10,6.15,4.85,3.1,4.85,6.15,2.01,8.25
Machine Learning Optimization,Machine Learning Optimization_Tool_20,Description of Machine Learning Optimization tool 20,7.48,5.67,6.48,4.52,7.28,4.52,6.48,2.17,8.52
Machine Learning Optimization,Machine Learning Optimization_Tool_21,Description of Machine Learning Optimization tool 21,7.13,5,6.04,4.96,9.46,4.96,6.04,2.04,8.65
Machine Learning Optimization,Machine Learning Optimization_Tool_22,Description of Machine Learning Optimization tool 22,7.35,8.48,6.05,4.95,7.43,4.95,6.05,2.25,8.57
Machine Learning Optimization,Machine Learning Optimization_Tool_23,Description of Machine Learning Optimization tool 23,9.66,8.58,5.72,5.28,7.42,5.28,5.72,1.71,9.41
Machine Learning Optimization,Machine Learning Optimization_Tool_24,Description of Machine Learning Optimization tool 24,6.87,8.67,6.22,4.78,6.15,4.78,6.22,2.24,8.91
Machine Learning Optimization,Machine Learning Optimization_Tool_25,Description of Machine Learning Optimization tool 25,5.01,7.03,5.67,5.33,6.43,5.33,5.67,2.17,8.86
Machine Learning Optimization,Machine Learning Optimization_Tool_26,Description of Machine Learning Optimization tool 26,7.68,8.68,6.02,4.98,6.45,4.98,6.02,2.34,7.97
Machine Learning Optimization,Machine Learning Optimization_Tool_27,Description of Machine Learning Optimization tool 27,7.24,6.71,6.28,4.72,9.5,4.72,6.28,2.47,7.24
Machine Learning Optimization,Machine Learning Optimization_Tool_28,Description of Machine Learning Optimization tool 28,9.37,7.2,6.42,4.58,7.17,4.58,6.42,2.1,8.89
Machine Learning Optimization,Machine Learning Optimization_Tool_29,Description of Machine Learning Optimization tool 29,7.28,9.45,5.96,5.04,7.72,5.04,5.96,2.69,7.99
Machine Learning Optimization,Machine Learning Optimization_Tool_30,Description of Machine Learning Optimization tool 30,7.96,6.64,6.09,4.91,3.7,4.91,6.09,1.68,8.59
Energy-Efficient NLP,Energy-Efficient NLP_Tool_1,Description of Energy-Efficient NLP tool 1,5,6.91,6.48,4.52,8.98,4.52,6.48,2.69,8.29
Energy-Efficient NLP,Energy-Efficient NLP_Tool_2,Description of Energy-Efficient NLP tool 2,8.75,5.56,5.7,5.3,7.38,5.3,5.7,1.6,8.41
Energy-Efficient NLP,Energy-Efficient NLP_Tool_3,Description of Energy-Efficient NLP tool 3,8.32,8.27,6.02,4.98,7.18,4.98,6.02,2.4,8.51
Energy-Efficient NLP,Energy-Efficient NLP_Tool_4,Description of Energy-Efficient NLP tool 4,5.48,9.09,6.44,4.56,9.51,4.56,6.44,1.67,8.5
Energy-Efficient NLP,Energy-Efficient NLP_Tool_5,Description of Energy-Efficient NLP tool 5,9.28,9.49,6.58,4.42,3.5,4.42,6.58,1.74,8.12
Energy-Efficient NLP,Energy-Efficient NLP_Tool_6,Description of Energy-Efficient NLP tool 6,7.14,8.8,5.56,5.44,5.03,5.44,5.56,1.63,8.75
Energy-Efficient NLP,Energy-Efficient NLP_Tool_7,Description of Energy-Efficient NLP tool 7,5.98,7.55,6.78,4.22,4.68,4.22,6.78,1.75,9.57
Energy-Efficient NLP,Energy-Efficient NLP_Tool_8,Description of Energy-Efficient NLP tool 8,8.5,6.44,5.99,5.01,9.11,5.01,5.99,2.39,10
Energy-Efficient NLP,Energy-Efficient NLP_Tool_9,Description of Energy-Efficient NLP tool 9,5.07,6.79,5.84,5.16,8.7,5.16,5.84,1.44,7.93
Energy-Efficient NLP,Energy-Efficient NLP_Tool_10,Description of Energy-Efficient NLP tool 10,8.18,7.64,5.82,5.18,6.03,5.18,5.82,1.9,9.56
Energy-Efficient NLP,Energy-Efficient NLP_Tool_11,Description of Energy-Efficient NLP tool 11,6.76,6.05,6.34,4.66,7.82,4.66,6.34,2.7,8.22
Energy-Efficient NLP,Energy-Efficient NLP_Tool_12,Description of Energy-Efficient NLP tool 12,6.94,7.79,6.07,4.93,9.95,4.93,6.07,2.73,9.85
Energy-Efficient NLP,Energy-Efficient NLP_Tool_13,Description of Energy-Efficient NLP tool 13,6.19,7.66,5.79,5.21,8.49,5.21,5.79,1.81,9.23
Energy-Efficient NLP,Energy-Efficient NLP_Tool_14,Description of Energy-Efficient NLP tool 14,6.91,8.82,6.04,4.96,7.39,4.96,6.04,1.86,7
Energy-Efficient NLP,Energy-Efficient NLP_Tool_15,Description of Energy-Efficient NLP tool 15,8.74,9.58,6.23,4.77,8.21,4.77,6.23,2.09,8.57
Energy-Efficient NLP,Energy-Efficient NLP_Tool_16,Description of Energy-Efficient NLP tool 16,8.02,6.39,6.59,4.41,3.4,4.41,6.59,1.86,7.33
Energy-Efficient NLP,Energy-Efficient NLP_Tool_17,Description of Energy-Efficient NLP tool 17,7.51,6.22,5.73,5.27,4.03,5.27,5.73,1.88,9.01
Energy-Efficient NLP,Energy-Efficient NLP_Tool_18,Description of Energy-Efficient NLP tool 18,6.52,8.51,6.23,4.77,3.33,4.77,6.23,2.55,9.44
Energy-Efficient NLP,Energy-Efficient NLP_Tool_19,Description of Energy-Efficient NLP tool 19,7.41,7.94,5.82,5.18,7.0,5.18,5.82,2.04,7.71
Energy-Efficient NLP,Energy-Efficient NLP_Tool_20,Description of Energy-Efficient NLP tool 20,7.17,10,6.02,4.98,9.51,4.98,6.02,1.73,8.24
Energy-Efficient NLP,Energy-Efficient NLP_Tool_21,Description of Energy-Efficient NLP tool 21,7.93,6.7,6.46,4.54,3.82,4.54,6.46,2.12,10
Energy-Efficient NLP,Energy-Efficient NLP_Tool_22,Description of Energy-Efficient NLP tool 22,8.22,8.14,5.83,5.17,4.22,5.17,5.83,1.73,8.41
Energy-Efficient NLP,Energy-Efficient NLP_Tool_23,Description of Energy-Efficient NLP tool 23,6.55,6.15,5.8,5.2,8.68,5.2,5.8,2.04,8.98
Energy-Efficient NLP,Energy-Efficient NLP_Tool_24,Description of Energy-Efficient NLP tool 24,7.62,6.91,6.87,4.13,4.72,4.13,6.87,2.36,8.18
Energy-Efficient NLP,Energy-Efficient NLP_Tool_25,Description of Energy-Efficient NLP tool 25,5.71,7.95,5.6,5.4,4.1,5.4,5.6,2.02,10
Energy-Efficient NLP,Energy-Efficient NLP_Tool_26,Description of Energy-Efficient NLP tool 26,7.81,9.37,6.18,4.82,5.87,4.82,6.18,2.44,9.11
Energy-Efficient NLP,Energy-Efficient NLP_Tool_27,Description of Energy-Efficient NLP tool 27,8.68,7.98,6.04,4.96,4.83,4.96,6.04,2.2,10
Energy-Efficient NLP,Energy-Efficient NLP_Tool_28,Description of Energy-Efficient NLP tool 28,6.98,5.17,6.01,4.99,5.68,4.99,6.01,2.46,8.48
Energy-Efficient NLP,Energy-Efficient NLP_Tool_29,Description of Energy-Efficient NLP tool 29,5.67,6.68,6.15,4.85,8.96,4.85,6.15,2.25,8.91
Energy-Efficient NLP,Energy-Efficient NLP_Tool_30,Description of Energy-Efficient NLP tool 30,6.84,8.91,6.15,4.85,6.45,4.85,6.15,2.46,8.69
Green Computer Vision,Green Computer Vision_Tool_1,Description of Green Computer Vision tool 1,7.97,6.33,6.11,4.89,3.33,4.89,6.11,1.75,9.52
Green Computer Vision,Green Computer Vision_Tool_2,Description of Green Computer Vision tool 2,5,8.53,5.88,5.12,7.27,5.12,5.88,1.93,8.41
Green Computer Vision,Green Computer Vision_Tool_3,Description of Green Computer Vision tool 3,8.04,7.92,5.71,5.29,5.6,5.29,5.71,1.99,8.69
Green Computer Vision,Green Computer Vision_Tool_4,Description of Green Computer Vision tool 4,7.73,9.37,6.04,4.96,8.72,4.96,6.04,1.65,8.08
Green Computer Vision,Green Computer Vision_Tool_5,Description of Green Computer Vision tool 5,7.27,7.6,5.37,5.63,7.6,5.63,5.37,2.97,8.32
Green Computer Vision,Green Computer Vision_Tool_6,Description of Green Computer Vision tool 6,7.15,8.33,5.72,5.28,8.74,5.28,5.72,1.88,7.54
Green Computer Vision,Green Computer Vision_Tool_7,Description of Green Computer Vision tool 7,7.09,5.76,5.74,5.26,3.56,5.26,5.74,1.91,10
Green Computer Vision,Green Computer Vision_Tool_8,Description of Green Computer Vision tool 8,7.48,7.63,5.94,5.06,7.65,5.06,5.94,1.71,8.45
Green Computer Vision,Green Computer Vision_Tool_9,Description of Green Computer Vision tool 9,8.01,6.63,5.91,5.09,3.33,5.09,5.91,1.9,8.09
Green Computer Vision,Green Computer Vision_Tool_10,Description of Green Computer Vision tool 10,5.97,6.79,6.18,4.82,4.41,4.82,6.18,2.3,9.12
Green Computer Vision,Green Computer Vision_Tool_11,Description of Green Computer Vision tool 11,8.58,6.91,5.89,5.11,7.29,5.11,5.89,2.01,7.85
Green Computer Vision,Green Computer Vision_Tool_12,Description of Green Computer Vision tool 12,7.31,8.19,5.67,5.33,6.38,5.33,5.67,2.07,8.54
Green Computer Vision,Green Computer Vision_Tool_13,Description of Green Computer Vision tool 13,9.21,8.14,5.87,5.13,3.79,5.13,5.87,1.52,9.44
Green Computer Vision,Green Computer Vision_Tool_14,Description of Green Computer Vision tool 14,5,9.3,6.81,4.19,6.12,4.19,6.81,2.15,8.72
Green Computer Vision,Green Computer Vision_Tool_15,Description of Green Computer Vision tool 15,5.86,6.46,6.13,4.87,6.44,4.87,6.13,2.03,9.08
Green Computer Vision,Green Computer Vision_Tool_16,Description of Green Computer Vision tool 16,8.23,7.55,6.4,4.6,7.67,4.6,6.4,2.27,7.2
Green Computer Vision,Green Computer Vision_Tool_17,Description of Green Computer Vision tool 17,7.05,6.56,6.0,5.0,8.2,5.0,6.0,1.81,8.65
Green Computer Vision,Green Computer Vision_Tool_18,Description of Green Computer Vision tool 18,7.99,5.91,6.07,4.93,7.7,4.93,6.07,2.02,9.18
Green Computer Vision,Green Computer Vision_Tool_19,Description of Green Computer Vision tool 19,8.21,8.42,6.55,4.45,7.82,4.45,6.55,2.28,8.68
Green Computer Vision,Green Computer Vision_Tool_20,Description of Green Computer Vision tool 20,9.77,8.48,5.83,5.17,7.41,5.17,5.83,2.2,8.36
Green Computer Vision,Green Computer Vision_Tool_21,Description of Green Computer Vision tool 21,8.21,8.58,5.93,5.07,9.42,5.07,5.93,1.91,9.09
Green Computer Vision,Green Computer Vision_Tool_22,Description of Green Computer Vision tool 22,9.11,5,5.81,5.19,4.05,5.19,5.81,2.05,7.98
Green Computer Vision,Green Computer Vision_Tool_23,Description of Green Computer Vision tool 23,7.75,6.48,5.88,5.12,4.03,5.12,5.88,1.83,7.21
Green Computer Vision,Green Computer Vision_Tool_24,Description of Green Computer Vision tool 24,6.28,8.76,5.99,5.01,3.25,5.01,5.99,1.69,8.47
Green Computer Vision,Green Computer Vision_Tool_25,Description of Green Computer Vision tool 25,8.38,7.36,5.94,5.06,3.53,5.06,5.94,2.34,8.58
Green Computer Vision,Green Computer Vision_Tool_26,Description of Green Computer Vision tool 26,5,5.46,6.37,4.63,6.3,4.63,6.37,1.82,8.48
Green Computer Vision,Green Computer Vision_Tool_27,Description of Green Computer Vision tool 27,6.58,6.06,5.69,5.31,8.69,5.31,5.69,2.08,8.12
Green Computer Vision,Green Computer Vision_Tool_28,Description of Green Computer Vision tool 28,9.9,7.81,6.54,4.46,7.39,4.46,6.54,2.29,8.16
Green Computer Vision,Green Computer Vision_Tool_29,Description of Green Computer Vision tool 29,6.98,7.54,6.09,4.91,3.32,4.91,6.09,2.33,8.82
Green Computer Vision,Green Computer Vision_Tool_30,Description of Green Computer Vision tool 30,9.62,7.81,6.22,4.78,5.84,4.78,6.22,2.49,9.61
Sustainable Edge Computing,Sustainable Edge Computing_Tool_1,Description of Sustainable Edge Computing tool 1,5.54,7.95,6.13,4.87,6.62,4.87,6.13,2.18,8.59
Sustainable Edge Computing,Sustainable Edge Computing_Tool_2,Description of Sustainable Edge Computing tool 2,6.23,5.15,5.75,5.25,3.87,5.25,5.75,1.83,8.03
Sustainable Edge Computing,Sustainable Edge Computing_Tool_3,Description of Sustainable Edge Computing tool 3,5.29,7.32,6.14,4.86,3.64,4.86,6.14,1.68,8.51
Sustainable Edge Computing,Sustainable Edge Computing_Tool_4,Description of Sustainable Edge Computing tool 4,7.02,8.21,6.44,4.56,6.03,4.56,6.44,1.84,7.75
Sustainable Edge Computing,Sustainable Edge Computing_Tool_5,Description of Sustainable Edge Computing tool 5,9.09,7.09,5.93,5.07,9.55,5.07,5.93,1.37,7.73
Sustainable Edge Computing,Sustainable Edge Computing_Tool_6,Description of Sustainable Edge Computing tool 6,6.15,9.82,6.44,4.56,3.93,4.56,6.44,1.98,7
Sustainable Edge Computing,Sustainable Edge Computing_Tool_7,Description of Sustainable Edge Computing tool 7,9.24,8.51,6.13,4.87,6.25,4.87,6.13,1.59,8.25
Sustainable Edge Computing,Sustainable Edge Computing_Tool_8,Description of Sustainable Edge Computing tool 8,8.1,7.26,5.73,5.27,8.53,5.27,5.73,2.14,8.29
Sustainable Edge Computing,Sustainable Edge Computing_Tool_9,Description of Sustainable Edge Computing tool 9,7.13,7.35,5.96,5.04,6.16,5.04,5.96,1.86,8.81
Sustainable Edge Computing,Sustainable Edge Computing_Tool_10,Description of Sustainable Edge Computing tool 10,6.18,8.63,6.11,4.89,8.05,4.89,6.11,1.65,7.31
Sustainable Edge Computing,Sustainable Edge Computing_Tool_11,Description of Sustainable Edge Computing tool 11,7.6,9.05,5.89,5.11,9.32,5.11,5.89,1.76,7.66
Sustainable Edge Computing,Sustainable Edge Computing_Tool_12,Description of Sustainable Edge Computing tool 12,7.35,5,5.57,5.43,6.48,5.43,5.57,2.32,8.8
Sustainable Edge Computing,Sustainable Edge Computing_Tool_13,Description of Sustainable Edge Computing tool 13,5.47,6.56,5.62,5.38,5.02,5.38,5.62,2.87,7.71
Sustainable Edge Computing,Sustainable Edge Computing_Tool_14,Description of Sustainable Edge Computing tool 14,8.63,9.33,5.58,5.42,8.62,5.42,5.58,2.11,9.39
Sustainable Edge Computing,Sustainable Edge Computing_Tool_15,Description of Sustainable Edge Computing tool 15,6.04,8.85,6.06,4.94,6.21,4.94,6.06,1.63,7.9
Sustainable Edge Computing,Sustainable Edge Computing_Tool_16,Description of Sustainable Edge Computing tool 16,6.25,5,5.7,5.3,7.35,5.3,5.7,1.46,8.83
Sustainable Edge Computing,Sustainable Edge Computing_Tool_17,Description of Sustainable Edge Computing tool 17,6.53,5.66,6.09,4.91,6.86,4.91,6.09,1.99,9.33
Sustainable Edge Computing,Sustainable Edge Computing_Tool_18,Description of Sustainable Edge Computing tool 18,6.92,7.69,6.39,4.61,7.78,4.61,6.39,1.81,7.17
Sustainable Edge Computing,Sustainable Edge Computing_Tool_19,Description of Sustainable Edge Computing tool 19,10,6.11,5.99,5.01,6.32,5.01,5.99,2.24,8.1
Sustainable Edge Computing,Sustainable Edge Computing_Tool_20,Description of Sustainable Edge Computing tool 20,5.21,8.51,5.65,5.35,5.0,5.35,5.65,1.76,8.45
Sustainable Edge Computing,Sustainable Edge Computing_Tool_21,Description of Sustainable Edge Computing tool 21,5.51,7.64,6.3,4.7,7.32,4.7,6.3,1.75,8.79
Sustainable Edge Computing,Sustainable Edge Computing_Tool_22,Description of Sustainable Edge Computing tool 22,7.03,5.78,6.35,4.65,4.02,4.65,6.35,1.78,7.99
Sustainable Edge Computing,Sustainable Edge Computing_Tool_23,Description of Sustainable Edge Computing tool 23,7.27,7.63,5.71,5.29,6.26,5.29,5.71,1.88,8.01
Sustainable Edge Computing,Sustainable Edge Computing_Tool_24,Description of Sustainable Edge Computing tool 24,9.06,5.95,5.71,5.29,7.21,5.29,5.71,2.2,8.99
Sustainable Edge Computing,Sustainable Edge Computing_Tool_25,Description of Sustainable Edge Computing tool 25,8.26,6.83,6.14,4.86,9.56,4.86,6.14,1.52,8.64
Sustainable Edge Computing,Sustainable Edge Computing_Tool_26,Description of Sustainable Edge Computing tool 26,10,8.35,6.03,4.97,9.12,4.97,6.03,2.13,9.32
Sustainable Edge Computing,Sustainable Edge Computing_Tool_27,Description of Sustainable Edge Computing tool 27,7.22,6.54,6.22,4.78,9.87,4.78,6.22,1.82,8.57
Sustainable Edge Computing,Sustainable Edge Computing_Tool_28,Description of Sustainable Edge Computing tool 28,5,6.52,6.63,4.37,8.58,4.37,6.63,1.74,8.49
Sustainable Edge Computing,Sustainable Edge Computing_Tool_29,Description of Sustainable Edge Computing tool 29,10,5.31,5.89,5.11,5.19,5.11,5.89,2.58,7.95
Sustainable Edge Computing,Sustainable Edge Computing_Tool_30,Description of Sustainable Edge Computing tool 30,6.99,7.5,5.56,5.44,7.04,5.44,5.56,1.93,8.4
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_1,Description of Resource-Optimized Deep Learning tool 1,7.32,7.54,6.39,4.61,9.03,4.61,6.39,2.08,10
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_2,Description of Resource-Optimized Deep Learning tool 2,5,5,5.76,5.24,7.0,5.24,5.76,2.31,7.77
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_3,Description of Resource-Optimized Deep Learning tool 3,7.54,7.32,5.95,5.05,8.48,5.05,5.95,1.84,8.49
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_4,Description of Resource-Optimized Deep Learning tool 4,8.29,8.07,6.92,4.08,9.89,4.08,6.92,2.47,7.58
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_5,Description of Resource-Optimized Deep Learning tool 5,5.24,5.68,6.04,4.96,5.2,4.96,6.04,1.84,9.29
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_6,Description of Resource-Optimized Deep Learning tool 6,6.61,7.17,5.85,5.15,9.42,5.15,5.85,1.96,8.98
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_7,Description of Resource-Optimized Deep Learning tool 7,6.27,7.93,5.42,5.58,6.9,5.58,5.42,2.73,9.64
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_8,Description of Resource-Optimized Deep Learning tool 8,6.1,7.32,5.71,5.29,3.21,5.29,5.71,1.6,8.44
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_9,Description of Resource-Optimized Deep Learning tool 9,6.13,9.07,6.19,4.81,7.43,4.81,6.19,1.69,9.33
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_10,Description of Resource-Optimized Deep Learning tool 10,7.76,8.17,5.82,5.18,7.45,5.18,5.82,2.2,8.98
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_11,Description of Resource-Optimized Deep Learning tool 11,7.67,6.61,6.7,4.3,8.37,4.3,6.7,1.95,9.26
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_12,Description of Resource-Optimized Deep Learning tool 12,6.64,8.92,5.98,5.02,9.44,5.02,5.98,2.45,8.34
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_13,Description of Resource-Optimized Deep Learning tool 13,10,7.31,6.24,4.76,9.14,4.76,6.24,1.74,8.67
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_14,Description of Resource-Optimized Deep Learning tool 14,7.15,6.71,6.37,4.63,5.71,4.63,6.37,2.19,8.66
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_15,Description of Resource-Optimized Deep Learning tool 15,9.28,9.99,5.69,5.31,8.92,5.31,5.69,1.94,8.38
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_16,Description of Resource-Optimized Deep Learning tool 16,6.87,5.93,5.87,5.13,6.28,5.13,5.87,2.65,9.12
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_17,Description of Resource-Optimized Deep Learning tool 17,8.87,8.05,5.93,5.07,6.02,5.07,5.93,1.87,8.27
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_18,Description of Resource-Optimized Deep Learning tool 18,5,9.57,5.85,5.15,6.17,5.15,5.85,1.95,9.98
Resource-Optimized Deep Learning,Resource-Optimized Deep Learning_Tool_19,Description of Resource-Optimized Deep Learning tool 19,7.24,8.51,6.23,4.77,9.74,4.77,6.23,2.7,9.25
